run_id,block_size,threads,batch_size,require_gb,duration_s,batch_count,gbps
p01-64K-32c,65536,4,8,0.00,15,579765,20.26
p02-64K-128c,65536,4,32,0.01,15,241476,33.76
p03-64K-512c,65536,4,128,0.03,15,86884,48.59
p04-256K-32c,262144,4,8,0.01,15,379039,52.99
p05-256K-128c,262144,4,32,0.03,15,109306,61.12
p06-256K-512c,262144,4,128,0.13,15,16640,37.22
p07-1M-32c,1048576,4,8,0.03,15,92433,51.69
p08-1M-128c,1048576,4,32,0.13,15,21344,47.73
p09-1M-512c,1048576,4,128,0.54,15,2379,21.27
p10-4M-32c,4194304,4,8,0.13,15,18308,40.95
p11-4M-128c,4194304,4,32,0.54,15,4476,40.00
p12-16M-32c,16777216,4,8,0.54,15,5502,49.21
