run_id,block_size,threads,batch_size,require_gb,duration_s,batch_count,gbps
p01-64K-32c,65536,4,8,0.00,15,793083,27.72
p02-64K-128c,65536,4,32,0.01,15,352909,49.34
p03-64K-512c,65536,4,128,0.03,15,112151,62.72
p04-256K-32c,262144,4,8,0.01,15,633943,88.63
p05-256K-128c,262144,4,32,0.03,15,262871,147.00
p06-256K-512c,262144,4,128,0.13,15,76711,171.58
p07-1M-32c,1048576,4,8,0.03,15,292305,163.46
p08-1M-128c,1048576,4,32,0.13,15,84922,189.95
p09-1M-512c,1048576,4,128,0.54,15,22570,201.92
p10-4M-32c,4194304,4,8,0.13,15,91667,205.04
p11-4M-128c,4194304,4,32,0.54,15,22408,200.48
p12-16M-32c,16777216,4,8,0.54,15,22913,204.99
