run_id,block_size,batch_size,bw_gbps,avg_lat_us,avg_prep_us,p99_prep_us,avg_post_us,p99_post_us,avg_tx_us,p99_tx_us
p01-64K-32c,65536,8,32.341621,2.0,20.2,23.0,30.9,65.0,31.1,56.0
p02-64K-128c,65536,32,72.082561,0.9,19.2,25.0,74.5,116.0,39.0,80.0
p03-64K-512c,65536,128,63.501202,1.0,81.5,217.0,402.0,860.0,55.4,135.0
p04-256K-32c,262144,8,45.175943,5.8,57.5,81.0,122.2,318.0,29.0,83.0
p05-256K-128c,262144,32,93.924232,2.8,24.5,29.0,269.5,419.0,83.7,158.0
p06-256K-512c,262144,128,58.868231,4.5,61.2,99.0,1410.6,2848.0,432.4,786.0
p07-1M-32c,1048576,8,134.234507,7.8,37.5,59.0,101.5,364.0,122.7,249.0
p08-1M-128c,1048576,32,110.786404,9.5,54.0,78.0,226.8,709.0,972.7,1077.0
p09-1M-512c,1048576,128,110.536209,9.5,36.0,42.0,1085.0,1712.0,3725.5,4839.0
p10-4M-32c,4194304,8,107.288352,39.1,28.0,32.0,67.6,97.0,1028.1,1242.0
p11-4M-128c,4194304,32,110.037080,38.1,45.2,52.0,165.8,186.0,4300.9,4737.0
p12-16M-32c,16777216,8,109.208892,153.6,43.0,71.0,116.1,276.0,4408.1,4931.0
